Year,Month,Domestic Debt,External Debt,Total
1999,September,183417.00,320137.00,503554.00
1999,December,190300.00,311953.00,502253.00
2000,March,201463.22,396800.00,598263.22
2000,June,206127.00,395694.00,601821.00
2000,September,202362.00,394667.37,597029.37
2000,December,196584.00,395710.06,592294.06
2000,March,195520.00,399798.72,595318.72
2000,June,195564.00,400203.03,595767.03
2000,September,195906.00,400714.45,596620.45
2000,December,192665.30,405355.31,598020.61
2001,March,193332.95,403645.68,596978.63
2001,June,199537.27,402555.40,602092.67
2001,September,200622.58,403373.54,603996.12
2001,December,210581.44,402308.31,612889.75
2001,March,202880.88,408100.64,610981.52
2001,June,211812.60,393978.00,605790.60
2001,September,205012.00,393491.36,598503.36
2001,December,214767.00,392335.83,607102.83
2001,March,219165.00,392052.74,611217.74
2001,June,225952.00,389276.05,615228.05
2001,September,217524.00,386971.92,604495.92
2001,December,221984.00,384302.58,606286.58
2002,March,222711.00,382302.84,605013.84
2002,June,227581.00,381497.47,609078.47
2002,September,229167.00,380169.06,609336.06
2002,December,233149.00,378475.98,611624.98
2002,March,231773.00,378594.34,610367.34
2002,June,235991.00,377748.00,613739.00
2002,September,242102.05,376712.94,618814.99
2002,December,247168.98,376868.51,624037.49
2002,March,250808.60,375034.19,625842.79
2002,June,251196.67,373140.09,624336.76
2002,September,255192.66,371334.71,626527.37
2002,December,259828.23,369729.83,629558.06
2003,March,263986.33,369051.09,633037.42
2003,June,264193.21,367469.40,631662.61
2003,September,270716.28,364904.26,635620.54
2003,December,276083.44,363605.43,639688.88
2003,March,280928.98,361731.20,642660.18
2003,June,289376.97,407053.00,696429.97
2003,September,292277.47,398532.85,690810.32
2003,December,295494.51,397991.28,693485.79
2003,March,303252.05,411067.00,714319.05
2003,June,301918.96,409359.85,711278.82
2003,September,303548.41,406592.25,710140.65
2003,December,301190.58,410149.00,711339.58
2004,March,299701.26,409158.26,708859.52
2004,June,300907.92,407417.62,708325.54
2004,September,302023.58,412036.08,714059.66
2004,December,301177.37,409950.33,711127.70
2004,March,299347.29,408547.54,707894.83
2004,June,306234.66,443157.43,749392.09
2004,September,303462.12,444611.00,748073.12
2004,December,301678.34,444460.66,746138.99
2004,March,299745.58,454438.56,754184.14
2004,June,301541.30,454539.95,756081.25
2004,September,302543.91,454664.42,757208.33
2004,December,295374.44,439992.95,735367.39
2005,March,291222.66,446226.13,737448.80
2005,June,292227.33,445544.58,737771.91
2005,September,296330.22,424857.08,721187.30
2005,December,307160.62,424345.69,731506.31
2005,March,304975.65,423476.45,728452.10
2005,June,315572.50,433975.65,749548.15
2005,September,324027.42,435399.90,759427.32
2005,December,325380.53,434850.69,760231.23
2005,March,328799.98,418860.33,747660.31
2005,June,332725.65,418417.49,751143.14
2005,September,333501.48,417897.89,751399.38
2005,December,335001.89,408601.92,743603.81
2006,March,333950.84,407544.63,741495.47
2006,June,338613.23,407132.44,745745.67
2006,September,346064.04,407003.71,753067.75
2006,December,348220.36,406531.77,754752.13
2006,March,349489.93,406493.69,755983.63
2006,June,357838.95,431236.83,789075.78
2006,September,364835.71,430667.84,795503.56
2006,December,367963.31,431095.63,799058.94
2006,March,371591.47,422647.93,794239.41
2006,June,375524.02,424414.09,799938.11
2006,September,381034.85,424933.07,805967.92
2006,December,385121.22,407742.55,792863.77
2007,March,378127.61,417467.73,795595.34
2007,June,385824.93,416510.41,802335.34
2007,September,386287.74,409055.74,795343.48
2007,December,390491.89,420265.23,810757.12
2007,March,390795.61,419743.45,810539.06
2007,June,404690.11,396564.00,801254.11
2007,September,410229.01,410512.75,820741.77
2007,December,415915.04,409066.12,824981.16
2007,March,426821.36,408680.79,835502.14
2007,June,418488.14,419738.84,838226.99
2007,September,426062.44,424243.21,850305.66
2007,December,438059.11,406923.00,844982.11
2008,March,432183.90,424205.02,856388.92
2008,June,434621.39,425976.18,860597.57
2008,September,444736.37,425086.89,869823.26
2008,December,437870.94,425992.78,863863.72
2008,March,442684.75,429644.66,872329.41
2008,June,430611.73,439967.00,870578.73
2008,September,428148.13,432808.95,860957.07
2008,December,433489.36,433670.73,867160.09
2008,March,449333.84,432954.02,882287.86
2008,June,454685.97,434487.59,889173.56
2008,September,451392.10,450248.35,901640.45
2008,December,456227.91,516671.33,972899.25
2009,March,454266.44,512475.65,966742.10
2009,June,478896.43,514635.34,993531.77
2009,September,474749.81,513623.00,988372.81
2009,December,497450.16,511981.59,1009431.75
2009,March,489234.39,517929.10,1007163.49
2009,June,518346.15,535143.70,1053489.84
2009,September,530400.97,532144.51,1062545.48
2009,December,547182.36,530075.39,1077257.75
2009,March,550613.80,524982.60,1075596.40
2009,June,567125.13,523899.66,1091024.79
2009,September,562926.79,521232.48,1084159.26
2009,December,588970.31,588970.31,1177940.63
2010,March,580721.47,525552.75,1106274.22
2010,June,607512.61,525369.18,1132881.79
2010,September,639116.32,538157.99,1177274.31
2010,December,653614.42,537424.84,1191039.26
2010,March,650261.96,541976.71,1192238.67
2010,June,660267.68,565452.00,1225719.68
2010,September,667803.42,562941.95,1230745.37
2010,December,698047.35,566166.88,1264214.23
2010,March,704702.77,594223.00,1298925.77
2010,June,696132.65,598080.46,1294213.11
2010,September,711448.98,599251.46,1310700.44
2010,December,720207.97,599930.46,1320138.43
2011,March,730197.77,615604.98,1345802.75
2011,June,746670.28,630400.03,1377070.31
2011,September,754048.10,642847.92,1396896.02
2011,December,735460.06,652675.73,1388135.79
2011,March,746574.73,675887.12,1422461.85
2011,June,764222.80,722888.00,1487110.80
2011,September,781713.03,744486.60,1526199.63
2011,December,776852.60,768510.85,1545363.45
2011,March,764274.59,799834.03,1564108.62
2011,June,794565.56,810011.60,1604577.16
2011,September,803894.34,728645.25,1532539.59
2011,December,799880.06,685607.92,1485487.98
2012,March,809278.11,686718.48,1495996.59
2012,June,877292.72,663050.00,1540342.72
2012,September,887871.40,676330.00,1564201.40
2012,December,896036.72,700900.00,1596936.72
2012,March,889056.81,721040.00,1610096.81
2012,June,858829.55,763971.00,1622800.55
2012,September,872160.52,767390.00,1639550.52
2012,December,901934.27,771760.00,1673694.27
2012,March,922196.19,802457.33,1724653.52
2012,June,929321.62,812307.84,1741629.46
2012,September,958438.68,824583.12,1783021.80
2012,December,971265.44,821972.82,1793238.26
2013,March,978335.91,833609.46,1811945.37
2013,June,943750.18,826267.68,1770017.86
2013,September,981910.93,812700.17,1794611.10
2013,December,1065609.39,816796.56,1882405.95
2013,March,1074797.69,832238.14,1907035.82
2013,June,1050628.57,800025.00,1850653.57
2013,September,1078604.00,875230.00,1953834.00
2013,December,1116676.22,887560.00,2004236.22
2013,March,1168115.36,889313.51,2057428.87
2013,June,1174782.27,887991.23,2062773.50
2013,September,1170053.22,912234.31,2082287.54
2013,December,1189182.59,922369.15,2111551.74
2014,March,1200901.86,920500.71,2121402.56
2014,June,1229416.28,937328.35,2166744.63
2014,September,1231183.10,940402.99,2171586.09
2014,December,1216759.23,950981.15,2167740.39
2014,March,1232041.55,957893.23,2189934.78
2014,June,1284327.25,1138505.00,2422832.25
2014,September,1296444.73,1089655.77,2386100.50
2014,December,1281093.66,1090984.32,2372077.98
2014,March,1260874.56,1087827.67,2348702.23
2014,June,1254913.42,1088832.15,2343745.57
2014,September,1303363.31,1088951.54,2392314.85
2014,December,1307748.71,1170696.28,2478444.99
2015,March,1334642.80,1163350.79,2497993.59
2015,June,1353302.65,1296748.46,2650051.11
2015,September,1397125.72,1278107.87,2675233.59
2015,December,1415431.51,1326835.19,2742266.71
2015,March,1407811.19,1381156.98,2788968.18
2015,June,1420444.38,1423253.00,2843697.38
2015,September,1418568.23,1473143.70,2891711.93
2015,December,1403100.20,1530678.61,2933778.82
2015,March,1388262.31,1550232.74,2938495.05
2015,June,1454245.39,1490713.76,2944959.15
2015,September,1516373.47,1562515.56,3078889.04
2015,December,1540017.00,1615184.20,3155201.20
2016,March,1522769.88,1654744.49,3177514.38
2016,June,1605227.98,1646555.21,3251783.19
2016,September,1646527.48,1665578.04,3312105.52
2016,December,1689039.25,1685269.16,3374308.41
2016,March,1750326.78,1680631.83,3430958.61
2016,June,1815470.50,1796198.00,3611668.50
2016,September,1808641.64,1797696.38,3606338.02
2016,December,1815930.73,1803260.48,3619191.22
2016,March,1854554.56,1849019.87,3703574.43
2016,June,1872102.82,1844474.95,3716577.78
2016,September,1918656.99,1834914.33,3753571.32
2016,December,1930855.01,1896443.05,3827298.06
2017,March,1894094.99,1992795.15,3886890.14
2017,June,1901820.24,1993173.80,3894994.04
2017,September,1944953.40,2159068.94,4104022.34
2017,December,1979865.65,2167254.83,4147120.48
2017,March,2045471.63,2187224.33,4232695.96
2017,June,2111710.44,2294153.00,4405863.44
2017,September,2123788.59,2305538.33,4429326.92
2017,December,2135933.94,2309775.39,4445709.33
2017,March,2172835.14,2310198.99,4483034.13
2017,June,2188509.46,2353124.93,4541634.39
2017,September,2228429.02,2357226.48,4585655.50
2017,December,2220345.35,2349284.44,4569629.79
2018,March,2247295.02,2377522.47,4624817.49
2018,June,2338213.71,2563074.05,4901287.76
2018,September,2371650.53,2512430.94,4884081.46
2018,December,2415234.64,2562178.53,4977413.17
2018,March,2447575.21,2573126.23,5020701.44
2018,June,2478835.09,2568398.70,5047233.79
2018,September,2513046.50,2601071.15,5114117.65
2018,December,2493706.78,2611403.10,5105109.88
2018,March,2540833.73,2605334.58,5146168.32
2018,June,2535751.88,2654689.44,5190441.33
2018,September,2563418.63,2709008.39,5272427.03
2018,December,2548768.78,2723734.27,5272503.04
2019,March,2604189.40,2729478.57,5333667.97
2019,June,2690972.03,2707287.17,5398259.20
2019,September,2702933.27,2721597.46,5424530.74
2019,December,2740905.64,2842481.02,5583386.66
2019,March,2772613.71,2834844.04,5607457.75
2019,June,2785483.13,3023139.47,5808622.60
2019,September,2843666.89,3160057.46,6003724.35
2019,December,2875502.65,3133543.34,6009045.99
2019,March,2851639.21,3111767.28,5963406.49
2019,June,2897141.36,3127601.25,6024742.62
2019,September,2917362.28,3114959.69,6032321.98
2019,December,2942103.54,3106822.96,6048926.50
2020,March,3003700.30,3112897.95,6116598.25
2020,June,3040964.55,3117038.57,6158003.12
2020,September,3070189.37,3212634.23,6282823.60
2020,December,3119415.80,3317330.98,6436746.77
2020,March,3153143.94,3496428.84,6649572.77
2020,June,3178421.28,3515812.00,6694233.28
2020,September,3273551.44,3638506.49,6912057.93
2020,December,3402500.73,3666321.29,7068822.02
2020,March,3457106.50,3663491.22,7120597.72
2020,June,3457644.63,3705644.24,7163288.87
2020,September,3482653.56,3771808.47,7254462.03
2020,December,3488541.18,3793285.24,7281826.42
2021,March,3532561.52,3819699.66,7352261.18
2021,June,3531182.93,3814288.77,7345471.70
2021,September,3569840.57,3769866.74,7339707.31
2021,December,3632914.80,3778131.44,7411046.24
2021,March,3686891.72,3799018.81,7485910.53
2021,June,3697093.18,3999542.00,7696635.18
2021,September,3792146.89,4020629.30,7812776.19
2021,December,3864875.78,4054862.85,7919738.63
2021,March,3937777.45,4062504.78,8000282.23
2021,June,3959523.30,4083124.54,8042647.84
2021,September,4008077.30,4109282.85,8117360.15
2021,December,4032368.18,4174371.53,8206739.71
2022,March,4110120.51,4155788.44,8265908.95
2022,June,4181420.48,4157763.28,8339183.76
2022,September,4191771.00,4209560.22,8401331.22
2022,December,4226843.40,4243534.44,8470377.84
2022,March,4268656.81,4295102.46,8563759.27
2022,June,4288332.96,4290775.57,8579108.53
2022,September,4310691.54,4299821.20,8610512.74
2022,December,4335273.44,4327930.65,8663204.08
2022,March,4366278.69,4334790.82,8701069.51
2022,June,4386094.34,4359569.49,8745663.83
2022,September,4435937.16,4462891.06,8898828.22
2022,December,4472838.52,4673144.13,9145982.65
2023,March,4501714.13,4681115.48,9182829.61
2023,June,4551561.27,4709715.16,9261276.43
2023,September,4539592.17,4851094.80,9390686.96
2023,December,4542350.54,5092502.58,9634853.13
2023,March,4549646.53,5137162.59,9686809.12
2023,June,4832112.06,5446560.94,10278672.99
2023,September,4873527.31,5542638.32,10416165.63
2023,December,4912338.93,5614091.02,10526429.95
2023,March,4914606.17,5667798.53,10582404.70
2023,June,4913029.44,5746316.51,10659345.95
2023,September,4990750.73,5896502.32,10887253.05
2023,December,5050108.54,6089584.98,11139693.52
2024,March,5050442.00,6189967.47,11240409.47
2024,June,5200211.07,5653894.01,10854105.08
2024,September,5235188.41,5163423.34,10398611.75
